model,variant,n,outdeg,seed,sigma,tau,bmssp_time_s,dijkstra_time_s,ratio,checked,mismatches,missing,pulls,batches,inserts
small,lemma33,500,5,42,1,3,0.000014,0.000067,0.208127,1,0,0,NA,NA,NA
small,lemma33,1000,5,42,1,3,0.000007,0.000120,0.056134,1,0,0,NA,NA,NA
small,lemma33,2000,5,42,1,3,0.000014,0.000236,0.057795,1,0,0,NA,NA,NA
small,lemma33,500,5,43,1,3,0.000007,0.000057,0.125903,1,0,0,NA,NA,NA
small,lemma33,1000,5,43,1,3,0.000007,0.000112,0.058865,1,0,0,NA,NA,NA
small,lemma33,2000,5,43,1,3,0.000010,0.000233,0.042501,1,0,0,NA,NA,NA
small,lemma33,500,5,44,1,3,0.000006,0.000052,0.113343,1,0,0,NA,NA,NA
small,lemma33,1000,5,44,1,3,0.000006,0.000111,0.058312,1,0,0,NA,NA,NA
small,lemma33,2000,5,44,1,3,0.000015,0.000264,0.056150,1,0,0,NA,NA,NA
small,baseline,500,5,42,1,3,0.000005,0.000053,0.086970,1,0,0,NA,NA,NA
small,baseline,1000,5,42,1,3,0.000005,0.000113,0.047672,1,0,0,NA,NA,NA
small,baseline,2000,5,42,1,3,0.000010,0.000239,0.041687,1,0,0,NA,NA,NA
small,baseline,500,5,43,1,3,0.000006,0.000053,0.120093,1,0,0,NA,NA,NA
small,baseline,1000,5,43,1,3,0.000005,0.000111,0.048296,1,0,0,NA,NA,NA
small,baseline,2000,5,43,1,3,0.000009,0.000237,0.039057,1,0,0,NA,NA,NA
small,baseline,500,5,44,1,3,0.000005,0.000053,0.096589,1,0,0,NA,NA,NA
small,baseline,1000,5,44,1,3,0.000005,0.000112,0.046701,1,0,0,NA,NA,NA
small,baseline,2000,5,44,1,3,0.000010,0.000245,0.041965,1,0,0,NA,NA,NA
medium,lemma33,5000,5,42,2,4,0.000048,0.000671,0.072271,2,0,0,NA,NA,NA
medium,lemma33,10000,5,42,2,4,0.000038,0.001426,0.026645,2,0,0,NA,NA,NA
medium,lemma33,20000,5,42,2,4,0.000064,0.003063,0.021042,2,0,0,NA,NA,NA
medium,lemma33,5000,5,43,2,4,0.000026,0.000631,0.040538,2,0,0,NA,NA,NA
medium,lemma33,10000,5,43,2,4,0.000036,0.001524,0.023869,2,0,0,NA,NA,NA
medium,lemma33,20000,5,43,2,4,0.000063,0.003349,0.018724,2,0,0,NA,NA,NA
medium,lemma33,5000,5,44,2,4,0.000025,0.000634,0.039371,2,0,0,NA,NA,NA
medium,lemma33,10000,5,44,2,4,0.000043,0.001476,0.028914,2,0,0,NA,NA,NA
medium,lemma33,20000,5,44,2,4,0.000064,0.003270,0.019507,2,0,0,NA,NA,NA
medium,baseline,5000,5,42,2,4,0.000028,0.000638,0.044037,2,0,0,NA,NA,NA
medium,baseline,10000,5,42,2,4,0.000039,0.001458,0.026700,2,0,0,NA,NA,NA
medium,baseline,20000,5,42,2,4,0.000059,0.003003,0.019592,2,0,0,NA,NA,NA
medium,baseline,5000,5,43,2,4,0.000022,0.000633,0.034898,2,0,0,NA,NA,NA
medium,baseline,10000,5,43,2,4,0.000034,0.001498,0.022394,2,0,0,NA,NA,NA
medium,baseline,20000,5,43,2,4,0.000067,0.003078,0.021633,2,0,0,NA,NA,NA
medium,baseline,5000,5,44,2,4,0.000021,0.000647,0.032548,2,0,0,NA,NA,NA
medium,baseline,10000,5,44,2,4,0.000039,0.001491,0.026232,2,0,0,NA,NA,NA
medium,baseline,20000,5,44,2,4,0.000051,0.003082,0.016657,2,0,0,NA,NA,NA
large,lemma33,50000,5,42,2,4,0.000123,0.009368,0.013098,2,0,0,NA,NA,NA
large,lemma33,100000,5,42,2,5,0.000290,0.025060,0.011561,2,0,0,NA,NA,NA
large,lemma33,50000,5,43,2,4,0.000133,0.009606,0.013828,2,0,0,NA,NA,NA
large,lemma33,100000,5,43,2,5,0.000237,0.021726,0.010890,2,0,0,NA,NA,NA
large,lemma33,50000,5,44,2,4,0.000125,0.009820,0.012725,2,0,0,NA,NA,NA
large,lemma33,100000,5,44,2,5,0.000229,0.022640,0.010133,2,0,0,NA,NA,NA
large,baseline,50000,5,42,2,4,0.000155,0.009104,0.016975,2,0,0,NA,NA,NA
large,baseline,100000,5,42,2,5,0.000266,0.021568,0.012351,2,0,0,NA,NA,NA
large,baseline,50000,5,43,2,4,0.000151,0.009485,0.015911,2,0,0,NA,NA,NA
large,baseline,100000,5,43,2,5,0.000260,0.023461,0.011091,2,0,0,NA,NA,NA
large,baseline,50000,5,44,2,4,0.000179,0.009674,0.018534,2,0,0,NA,NA,NA
large,baseline,100000,5,44,2,5,0.000341,0.023181,0.014700,2,0,0,NA,NA,NA
